Typ;Flurkarten;LU_x;LU_y;LO_x;LO_y;RO_x;RO_y;RU_x;RU_y
Badische Flurkarten;239.31;417432.6567;5278056.619;417439.73;5279056.242;418439.203;5279049.234;418432.1356;5278049.631
Badische Flurkarten;239.32;418432.1356;5278049.631;418439.203;5279049.234;419438.8489;5279042.1;419431.748;5278042.462
Badische Flurkarten;239.33;419431.748;5278042.462;419438.8489;5279042.1;420438.6098;5279035.055;420431.501;5278035.366
Badische Flurkarten;239.34;420431.501;5278035.366;420438.6098;5279035.055;421438.3029;5279028.039;421431.2669;5278028.35
Badische Flurkarten;239.35;421431.2669;5278028.35;421438.3029;5279028.039;422438.0051;5279020.955;422430.9039;5278021.354
Badische Flurkarten;246.23;409386.1069;5271115.272;409393.0529;5272114.882;410392.6897;5272107.87;410385.7563;5271108.278
Badische Flurkarten;10.158;546011.7193;5506055.894;546018.8902;5507055.684;547018.4911;5507048.497;547011.3813;5506048.806
Badische Flurkarten;10.159;547011.3813;5506048.806;547018.4911;5507048.497;548018.1936;5507041.184;548011.0666;5506041.715
Badische Flurkarten;11.158;546004.4858;5505056.608;546011.7193;5506055.894;547011.3813;5506048.806;547004.1343;5505049.431
Badische Flurkarten;11.159;547004.1343;5505049.431;547011.3813;5506048.806;548011.0666;5506041.715;548003.7913;5505042.212
Badische Flurkarten;174.062;448881.0967;5342813.363;448887.9649;5343813.207;449887.2373;5343806.378;449880.6355;5342806.36
Badische Flurkarten;174.063;449880.6355;5342806.36;449887.2373;5343806.378;450886.8541;5343799.329;450880.1422;5342799.361
Badische Flurkarten;175.062;448873.883;5341813.83;448881.0967;5342813.363;449880.6355;5342806.36;449873.4969;5341806.76
Badische Flurkarten;175.063;449873.4969;5341806.76;449880.6355;5342806.36;450880.1422;5342799.361;450873.0771;5341799.701
Badische Flurkarten;176.062;448866.8077;5340814.24;448873.883;5341813.83;449873.4969;5341806.76;449866.4087;5340807.159
Badische Flurkarten;176.063;449866.4087;5340807.159;449873.4969;5341806.76;450873.0771;5341799.701;450866.001;5340800.083
Badische Flurkarten;247.011;397382.4062;5270200.059;397389.4217;5271199.781;398389.1749;5271192.775;398382.1269;5270193.02
Badische Flurkarten;247.012;398382.1269;5270193.02;398389.1749;5271192.775;399388.9211;5271185.775;399381.8347;5270185.992
Badische Flurkarten;248.011;397375.3835;5269200.462;397382.4062;5270200.059;398382.1269;5270193.02;398375.1412;5269193.363
Badische Flurkarten;239.30;416433.1069;5278063.636;416440.1585;5279063.206;417439.73;5279056.242;417432.6567;5278056.619
Badische Flurkarten;8.140;528034.3102;5508185.1;528041.2808;5509184.496;529040.8064;5509177.156;529033.6249;5508177.788
Badische Flurkarten;8.141;529033.6249;5508177.788;529040.8064;5509177.156;530040.1814;5509170.221;530033.2123;5508170.414
Badische Flurkarten;8.142;530033.2123;5508170.414;530040.1814;5509170.221;531039.7452;5509162.925;531032.6165;5508163.333
Badische Flurkarten;8.143;531032.6165;5508163.333;531039.7452;5509162.925;532039.4113;5509155.645;532032.1635;5508156.075
Badische Flurkarten;8.144;532032.1635;5508156.075;532039.4113;5509155.645;533039.0154;5509148.447;533031.8068;5508149.118
Badische Flurkarten;8.145;533031.8068;5508149.118;533039.0154;5509148.447;534038.5789;5509141.11;534031.4088;5508141.692
Badische Flurkarten;8.146;534031.4088;5508141.692;534038.5789;5509141.11;535038.1721;5509133.82;535030.9202;5508134.354
Badische Flurkarten;8.147;535030.9202;5508134.354;535038.1721;5509133.82;536037.6161;5509126.617;536030.4353;5508127.183
Badische Flurkarten;8.148;536030.4353;5508127.183;536037.6161;5509126.617;537037.1729;5509119.427;537029.9628;5508119.992
Badische Flurkarten;8.149;537029.9628;5508119.992;537037.1729;5509119.427;538036.7359;5509112.306;538029.5417;5508112.801
Badische Flurkarten;8.150;538029.5417;5508112.801;538036.7359;5509112.306;539036.3416;5509105.056;539029.0521;5508105.568
Badische Flurkarten;8.151;539029.0521;5508105.568;539036.3416;5509105.056;540035.8527;5509097.926;540028.7475;5508098.351
Badische Flurkarten;8.152;540028.7475;5508098.351;540035.8527;5509097.926;541035.5411;5509090.599;541028.3363;5508091.17
Badische Flurkarten;8.154;542027.9883;5508083.94;542035.1909;5509083.382;543034.7156;5509076.262;543027.562;5508076.706
Badische Flurkarten;8.155;543027.562;5508076.706;543034.7156;5509076.262;544034.2308;5509068.967;544027.0743;5508069.494
Badische Flurkarten;8.156;544027.0743;5508069.494;544034.2308;5509068.967;545033.7269;5509061.706;545026.5336;5508062.253
Badische Flurkarten;8.157;545026.5336;5508062.253;545033.7269;5509061.706;546033.1353;5509054.545;546025.9671;5508055.046
Badische Flurkarten;8.158;546025.9671;5508055.046;546033.1353;5509054.545;547032.7522;5509047.509;547025.6058;5508047.993
Badische Flurkarten;8.162;550024.5276;5508026.403;550031.5465;5509025.895;551031.1828;5509018.881;551024.0706;5508019.328
Badische Flurkarten;8.163;551024.0706;5508019.328;551031.1828;5509018.881;552030.8411;5509011.682;552023.6508;5508012.091
Badische Flurkarten;8.168;556022.0049;5507983.443;556029.1727;5508982.978;557028.7427;5508975.773;557021.5686;5507976.254
Badische Flurkarten;8.169;557021.5686;5507976.254;557028.7427;5508975.773;558028.3981;5508968.538;558021.1943;5507969.017
Badische Flurkarten;9.136;524028.762;5507214.236;524035.9837;5508213.752;525035.5054;5508206.544;525028.39;5507206.976
Badische Flurkarten;9.137;525028.39;5507206.976;525035.5054;5508206.544;526034.8668;5508199.229;526027.6904;5507199.764
Badische Flurkarten;9.138;526027.6904;5507199.764;526034.8668;5508199.229;527034.5029;5508192.246;527027.2442;5507192.562
Badische Flurkarten;9.139;527027.2442;5507192.562;527034.5029;5508192.246;528034.3102;5508185.1;528026.8678;5507185.464
Badische Flurkarten;9.140;528026.8678;5507185.464;528034.3102;5508185.1;529033.6249;5508177.788;529026.4541;5507178.28
Badische Flurkarten;9.141;529026.4541;5507178.28;529033.6249;5508177.788;530033.2123;5508170.414;530025.8367;5507170.989
Badische Flurkarten;22.170;557920.6539;5493975.724;557927.8407;5494975.2;558927.4325;5494967.969;558920.2316;5493968.504
Badische Flurkarten;22.171;558920.2316;5493968.504;558927.4325;5494967.969;559927.0132;5494960.824;559919.936;5493961.331
Badische Flurkarten;22.172;559919.936;5493961.331;559927.0132;5494960.824;560926.5655;5494953.435;560919.4615;5493954.027
Badische Flurkarten;22.173;560919.4615;5493954.027;560926.5655;5494953.435;561926.151;5494946.127;561919.0341;5493946.688
Badische Flurkarten;22.174;561919.0341;5493946.688;561926.151;5494946.127;562925.6717;5494938.841;562918.5509;5493939.386
Badische Flurkarten;23.82;469950.226;5493610.273;469957.4688;5494609.89;470957.0117;5494602.657;470949.7891;5493603.072
Badische Flurkarten;23.83;470949.7891;5493603.072;470957.0117;5494602.657;471956.5653;5494595.436;471949.3321;5493595.836
Badische Flurkarten;23.84;471949.3321;5493595.836;471956.5653;5494595.436;472956.115;5494588.2;472948.8765;5493588.609
Badische Flurkarten;23.85;472948.8765;5493588.609;472956.115;5494588.2;473955.6801;5494580.965;473948.4349;5493581.364
Badische Flurkarten;23.86;473948.4349;5493581.364;473955.6801;5494580.965;474955.2198;5494573.719;474948.0112;5493574.142
Badische Flurkarten;23.87;474948.0112;5493574.142;474955.2198;5494573.719;475954.9588;5494566.565;475947.7363;5493566.978
Badische Flurkarten;23.88;475947.7363;5493566.978;475954.9588;5494566.565;476954.611;5494559.5;476947.4339;5493559.853
Badische Flurkarten;23.89;476947.4339;5493559.853;476954.611;5494559.5;477954.1851;5494552.314;477947.001;5493552.725
Badische Flurkarten;23.90;477947.001;5493552.725;477954.1851;5494552.314;478953.7872;5494545.021;478946.5717;5493545.444
Badische Flurkarten;23.130;517929.5914;5493264.413;517936.7974;5494263.973;518936.2606;5494256.823;518929.1049;5493257.252
Badische Flurkarten;23.131;518929.1049;5493257.252;518936.2606;5494256.823;519935.7797;5494249.663;519928.5471;5493250.12
Badische Flurkarten;23.132;519928.5471;5493250.12;519935.7797;5494249.663;520935.6;5494242.415;520928.2835;5493242.919
Badische Flurkarten;23.133;520928.2835;5493242.919;520935.6;5494242.415;521935.4468;5494235.205;521928.1216;5493235.707
Badische Flurkarten;23.134;521928.1216;5493235.707;521935.4468;5494235.205;522935.2791;5494227.995;522927.9403;5493228.501
Badische Flurkarten;23.135;522927.9403;5493228.501;522935.2791;5494227.995;523934.8411;5494220.852;523927.692;5493221.251
Badische Flurkarten;23.136;523927.692;5493221.251;523934.8411;5494220.852;524934.326;5494213.521;524927.0942;5493213.874
Badische Flurkarten;23.137;524927.0942;5493213.874;524934.326;5494213.521;525933.9894;5494206.299;525926.8385;5493206.733
Badische Flurkarten;23.138;525926.8385;5493206.733;525933.9894;5494206.299;526933.5541;5494199.01;526926.4132;5493199.474
Badische Flurkarten;23.139;526926.4132;5493199.474;526933.5541;5494199.01;527933.1313;5494191.746;527925.9882;5493192.187
Badische Flurkarten;23.140;527925.9882;5493192.187;527933.1313;5494191.746;528932.7172;5494184.499;528925.5708;5493184.932
Badische Flurkarten;23.141;528925.5708;5493184.932;528932.7172;5494184.499;529932.2757;5494177.363;529924.9971;5493177.759
Badische Flurkarten;23.142;529924.9971;5493177.759;529932.2757;5494177.363;530931.634;5494170.17;530924.3786;5493170.575
Badische Flurkarten;23.143;530924.3786;5493170.575;530931.634;5494170.17;531931.1137;5494162.893;531923.893;5493163.384
Badische Flurkarten;23.144;531923.893;5493163.384;531931.1137;5494162.893;532930.7244;5494155.707;532923.5209;5493156.194
Badische Flurkarten;23.145;532923.5209;5493156.194;532930.7244;5494155.707;533930.3307;5494148.513;533923.1389;5493149.01
Badische Flurkarten;23.146;533923.1389;5493149.01;533930.3307;5494148.513;534929.9365;5494141.344;534922.726;5493141.808
Badische Flurkarten;23.147;534922.726;5493141.808;534929.9365;5494141.344;535929.493;5494134.081;535922.3398;5493134.493
Badische Flurkarten;23.148;535922.3398;5493134.493;535929.493;5494134.081;536929.0787;5494126.866;536921.8673;5493127.349
